model,prompt,elapsed_sec,tokens_in,tokens_out,f1,macro_f1
DeepSeek v3.2,p1_zero_shot,607.4,119929,34296,0.7725,0.7774
DeepSeek v3.2,p2_few_shot,582.6,252517,31268,0.8539,0.848
DeepSeek v3.2,p3_taxonomy_tree,609.3,160185,33104,0.7269,0.6991
DeepSeek v3.2,p4_self_verify,5400.6,87949,64728,0.2237,0.2076
DeepSeek v3.2,p5_rag_dense,582.8,302576,29093,0.82,0.7844
DeepSeek v3.2,p5_rag_random,564.0,254946,30085,0.8373,0.8018
Gemma 3 27B-IT,p1_zero_shot,641.7,132336,43520,0.7273,0.7266
Gemma 3 27B-IT,p2_few_shot,576.6,291140,34754,0.8721,0.8848
Gemma 3 27B-IT,p3_taxonomy_tree,637.9,174564,39543,0.7138,0.7148
Gemma 3 27B-IT,p4_self_verify,1437.6,139666,69616,0.5514,0.5693
Gemma 3 27B-IT,p5_rag_dense,505.2,352004,28536,0.7775,0.7736
Gemma 3 27B-IT,p5_rag_random,495.3,291208,30057,0.7619,0.7457
Mistral Devstral 2 123B,p1_zero_shot,525.3,129687,35427,0.6917,0.7703
Mistral Devstral 2 123B,p2_few_shot,533.9,284450,35168,0.9474,0.927
Mistral Devstral 2 123B,p3_taxonomy_tree,604.2,170589,42140,0.5967,0.6522
Mistral Devstral 2 123B,p4_self_verify,1239.4,141179,69748,0.6028,0.6706
Mistral Devstral 2 123B,p5_rag_dense,583.9,344412,35277,0.9638,0.9432
Mistral Devstral 2 123B,p5_rag_random,534.5,280703,34558,0.9333,0.8756
Qwen3 Coder 30B A3B,p1_zero_shot,29.900000000000002,125879,35459,0.8536,0.815
Qwen3 Coder 30B A3B,p2_few_shot,33.7,274321,34404,0.8953,0.8459
Qwen3 Coder 30B A3B,p3_taxonomy_tree,29.9,166645,33102,0.7543,0.6994
Qwen3 Coder 30B A3B,p4_self_verify,65.2,137439,93512,0.7699,0.7563
Qwen3 Coder 30B A3B,p5_rag_dense,57.1,332120,33559,0.9591,0.9212
Qwen3 Coder 30B A3B,p5_rag_random,33.7,270982,34432,0.913,0.8523
GPT-OSS 120B,p1_zero_shot,98.1,122048,107179,0.7044,0.6875
GPT-OSS 120B,p2_few_shot,99.69999999999999,257940,100629,0.8015,0.7872
GPT-OSS 120B,p3_taxonomy_tree,108.0,161964,124895,0.6077,0.5588
GPT-OSS 120B,p4_self_verify,87.0,133540,103186,0.6675,0.6834
GPT-OSS 120B,p5_rag_dense,124.9,309039,101301,0.9036,0.8816
GPT-OSS 120B,p5_rag_random,79.2,264437,96415,0.899,0.8932
Gemma 3 4B-IT,p1_zero_shot,58.3,132336,42045,0.6093,0.5768
Gemma 3 4B-IT,p2_few_shot,40.0,291140,19402,0.3964,0.4007
Gemma 3 4B-IT,p3_taxonomy_tree,43.7,174564,29373,0.4348,0.4302
Gemma 3 4B-IT,p4_self_verify,98.3,144542,76667,0.4869,0.4526
Gemma 3 4B-IT,p5_rag_dense,62.1,352004,18182,0.4222,0.419
Gemma 3 4B-IT,p5_rag_random,46.4,289829,22431,0.4993,0.4517
Mistral Voxtral Mini 3B,p1_zero_shot,59.3,129687,34664,0.8292,0.7221
Mistral Voxtral Mini 3B,p2_few_shot,40.3,284450,20181,0.6959,0.6469
Mistral Voxtral Mini 3B,p3_taxonomy_tree,58.4,170589,33833,0.7207,0.6416
Mistral Voxtral Mini 3B,p4_self_verify,106.1,141179,74128,0.4581,0.4446
Mistral Voxtral Mini 3B,p5_rag_dense,62.4,344412,19232,0.6695,0.5548
Mistral Voxtral Mini 3B,p5_rag_random,41.6,285552,19523,0.6695,0.5582
Nemotron Nano 3-30B,p1_zero_shot,54.3,130061,51422,0.6586,0.6098
Nemotron Nano 3-30B,p2_few_shot,35.9,284824,29479,0.8102,0.7972
Nemotron Nano 3-30B,p3_taxonomy_tree,52.4,170963,46302,0.6439,0.6075
Nemotron Nano 3-30B,p4_self_verify,184.2,141553,223058,0.0962,0.0793
Nemotron Nano 3-30B,p5_rag_dense,56.0,344786,26637,0.7537,0.6888
Nemotron Nano 3-30B,p5_rag_random,45.8,288927,29245,0.7576,0.7182
Nemotron Nano 9B v2,p1_zero_shot,221.2,129925,183299,0.3634,0.37
Nemotron Nano 9B v2,p2_few_shot,149.3,284688,103525,0.7245,0.7542
Nemotron Nano 9B v2,p3_taxonomy_tree,209.4,170827,172940,0.3644,0.3638
Nemotron Nano 9B v2,p4_self_verify,208.1,141417,143332,0.5407,0.5419
Nemotron Nano 9B v2,p5_rag_dense,181.3,344650,110818,0.695,0.6611
Nemotron Nano 9B v2,p5_rag_random,205.0,284439,106102,0.7206,0.6968
