comparison,model,ΔF1,CI 2.5%,CI 97.5%,sig
P2 few-shot vs P1,DeepSeek v3.2,0.105,0.024,0.189,✅
P3 tax-tree vs P1,DeepSeek v3.2,-0.031,-0.097,0.035,ns
P4 self-verify vs P1,DeepSeek v3.2,-0.265,-0.34,-0.181,✅
P5 RAG dense (k=3) vs P1,DeepSeek v3.2,0.055,0.007,0.112,✅
P5 RAG random (k=2) vs P1,DeepSeek v3.2,0.057,-0.02,0.136,ns
P2 few-shot vs P1,Gemma 3 27B-IT,0.161,0.073,0.268,✅
P3 tax-tree vs P1,Gemma 3 27B-IT,-0.008,-0.067,0.071,ns
P4 self-verify vs P1,Gemma 3 27B-IT,-0.089,-0.187,0.01,ns
P5 RAG dense (k=3) vs P1,Gemma 3 27B-IT,0.077,-0.024,0.19,ns
P5 RAG random (k=2) vs P1,Gemma 3 27B-IT,0.069,-0.017,0.172,ns
P2 few-shot vs P1,Mistral Devstral 2 123B,0.235,0.167,0.315,✅
P3 tax-tree vs P1,Mistral Devstral 2 123B,-0.102,-0.168,-0.031,✅
P4 self-verify vs P1,Mistral Devstral 2 123B,-0.146,-0.209,-0.071,✅
P5 RAG dense (k=3) vs P1,Mistral Devstral 2 123B,0.241,0.167,0.33,✅
P5 RAG random (k=2) vs P1,Mistral Devstral 2 123B,0.245,0.175,0.331,✅
P2 few-shot vs P1,Qwen3 Coder 30B A3B,0.042,-0.088,0.158,ns
P3 tax-tree vs P1,Qwen3 Coder 30B A3B,-0.099,-0.188,-0.028,✅
P4 self-verify vs P1,Qwen3 Coder 30B A3B,-0.084,-0.161,-0.016,✅
P5 RAG dense (k=3) vs P1,Qwen3 Coder 30B A3B,0.105,0.066,0.157,✅
P5 RAG random (k=2) vs P1,Qwen3 Coder 30B A3B,0.059,-0.024,0.128,ns
P2 few-shot vs P1,GPT-OSS 120B,0.097,-0.044,0.225,ns
P3 tax-tree vs P1,GPT-OSS 120B,-0.097,-0.201,0.008,ns
P4 self-verify vs P1,GPT-OSS 120B,-0.037,-0.101,0.04,ns
P5 RAG dense (k=3) vs P1,GPT-OSS 120B,0.199,0.112,0.294,✅
P5 RAG random (k=2) vs P1,GPT-OSS 120B,0.195,0.106,0.287,✅
P2 few-shot vs P1,Gemma 3 4B-IT,-0.213,-0.328,-0.098,✅
P3 tax-tree vs P1,Gemma 3 4B-IT,-0.175,-0.253,-0.092,✅
P4 self-verify vs P1,Gemma 3 4B-IT,-0.122,-0.207,-0.038,✅
P5 RAG dense (k=3) vs P1,Gemma 3 4B-IT,-0.187,-0.289,-0.073,✅
P5 RAG random (k=2) vs P1,Gemma 3 4B-IT,-0.11,-0.213,0.001,ns
P2 few-shot vs P1,Mistral Voxtral Mini 3B,-0.133,-0.253,-0.034,✅
P3 tax-tree vs P1,Mistral Voxtral Mini 3B,-0.108,-0.173,-0.047,✅
P4 self-verify vs P1,Mistral Voxtral Mini 3B,-0.371,-0.503,-0.241,✅
P5 RAG dense (k=3) vs P1,Mistral Voxtral Mini 3B,-0.16,-0.262,-0.067,✅
P5 RAG random (k=2) vs P1,Mistral Voxtral Mini 3B,-0.16,-0.258,-0.057,✅
P2 few-shot vs P1,Nemotron Nano 3-30B,0.152,0.063,0.251,✅
P3 tax-tree vs P1,Nemotron Nano 3-30B,-0.015,-0.073,0.042,ns
P4 self-verify vs P1,Nemotron Nano 3-30B,-0.562,-0.693,-0.385,✅
P5 RAG dense (k=3) vs P1,Nemotron Nano 3-30B,0.095,0.02,0.182,✅
P5 RAG random (k=2) vs P1,Nemotron Nano 3-30B,0.099,0.021,0.178,✅
P2 few-shot vs P1,Nemotron Nano 9B v2,0.361,0.194,0.529,✅
P3 tax-tree vs P1,Nemotron Nano 9B v2,0.001,-0.245,0.272,ns
P4 self-verify vs P1,Nemotron Nano 9B v2,0.177,-0.027,0.399,ns
P5 RAG dense (k=3) vs P1,Nemotron Nano 9B v2,0.332,0.18,0.508,✅
P5 RAG random (k=2) vs P1,Nemotron Nano 9B v2,0.357,0.214,0.53,✅
