model,language,dense (k=3),random (k=2),Δ (dense − random)
DeepSeek v3.2,java,0.7967,0.8032,-0.007
DeepSeek v3.2,python,0.8608,0.904,-0.043
DeepSeek v3.2,javascript,0.8194,0.8797,-0.06
DeepSeek v3.2,cpp,0.7578,0.6061,0.152
Gemma 3 27B-IT,java,0.601,0.6244,-0.023
Gemma 3 27B-IT,python,0.9187,0.8632,0.055
Gemma 3 27B-IT,javascript,0.7451,0.7714,-0.026
Gemma 3 27B-IT,cpp,0.8846,0.8734,0.011
Mistral Devstral 2 123B,java,0.971,0.9673,0.004
Mistral Devstral 2 123B,python,0.9732,0.9846,-0.011
Mistral Devstral 2 123B,javascript,0.9802,0.9881,-0.008
Mistral Devstral 2 123B,cpp,0.8611,0.8591,0.002
Qwen3 Coder 30B A3B,java,0.9398,0.9438,-0.004
Qwen3 Coder 30B A3B,python,0.9845,0.9845,0.0
Qwen3 Coder 30B A3B,javascript,0.9841,0.9841,0.0
Qwen3 Coder 30B A3B,cpp,0.9079,0.6424,0.266
GPT-OSS 120B,java,0.9185,0.9682,-0.05
GPT-OSS 120B,python,0.8988,0.819,0.08
GPT-OSS 120B,javascript,0.9218,0.9644,-0.043
GPT-OSS 120B,cpp,0.8589,0.7977,0.061
Gemma 3 4B-IT,java,0.3676,0.6036,-0.236
Gemma 3 4B-IT,python,0.4421,0.4,0.042
Gemma 3 4B-IT,javascript,0.2911,0.427,-0.136
Gemma 3 4B-IT,cpp,0.6552,0.5625,0.093
Mistral Voxtral Mini 3B,java,0.6822,0.6415,0.041
Mistral Voxtral Mini 3B,python,0.7642,0.787,-0.023
Mistral Voxtral Mini 3B,javascript,0.6455,0.5778,0.068
Mistral Voxtral Mini 3B,cpp,0.4848,0.6422,-0.157
Nemotron Nano 3-30B,java,0.7586,0.7521,0.007
Nemotron Nano 3-30B,python,0.7431,0.7489,-0.006
Nemotron Nano 3-30B,javascript,0.8142,0.8194,-0.005
Nemotron Nano 3-30B,cpp,0.6618,0.6966,-0.035
Nemotron Nano 9B v2,java,0.5437,0.692,-0.148
Nemotron Nano 9B v2,python,0.793,0.7407,0.052
Nemotron Nano 9B v2,javascript,0.8496,0.7596,0.09
Nemotron Nano 9B v2,cpp,0.5106,0.6839,-0.173
